Disease,Symptoms
Cold,"fever, cough, fatigue, sore throat"
Migraine,"headache, nausea, dizziness, light sensitivity"
Heart Attack,"chest pain, shortness of breath, dizziness, cold sweat"
Flu,"fever, chills, muscle aches, fatigue, cough"
Tuberculosis,"persistent cough, blood in sputum, night sweats, weight loss"
Diabetes,"weight loss, excessive thirst, blurred vision, fatigue"
Rheumatoid Arthritis,"joint pain, swelling, stiffness, fatigue"
Systemic Lupus Erythematosus,"rash, fever, joint pain, photosensitivity"
Gastroenteritis,"abdominal pain, diarrhea, vomiting, fever, nausea"
Gallstones,"nausea, vomiting, abdominal pain, jaundice"
Lung Cancer,"persistent cough, fatigue, weight loss, chest pain, coughing up blood"
Alzheimer's Disease,"memory loss, confusion, difficulty planning, disorientation"
Irritable Bowel Syndrome,"abdominal pain, bloating, constipation, diarrhea"
Strep Throat,"fever, sore throat, swollen lymph nodes, red tonsils"
Meningitis,"fever, headache, neck stiffness, sensitivity to light"
Myasthenia Gravis,"muscle weakness, difficulty breathing, drooping eyelids"
Sciatica,"back pain, numbness in legs, tingling, difficulty moving"
Hypothyroidism,"fatigue, weight gain, constipation, dry skin"
Chronic Obstructive Pulmonary Disease,"chronic cough, weight loss, fatigue, shortness of breath"
Parkinson's Disease,"tremors, muscle stiffness, slow movement, balance problems"
Multiple Sclerosis,"muscle weakness, coordination problems, vision problems, fatigue"
Epilepsy,"seizures, confusion, staring spells, muscle rigidity"
Fibromyalgia,"widespread pain, fatigue, sleep disturbances, memory problems"
Chronic Fatigue Syndrome,"extreme fatigue, muscle pain, headaches, sleep problems"
Celiac Disease,"diarrhea, abdominal pain, bloating, weight loss"
Crohn's Disease,"abdominal pain, diarrhea, weight loss, fatigue"
Ulcerative Colitis,"bloody diarrhea, abdominal pain, weight loss, fatigue"
Psoriasis,"red patches on skin, itching, dry skin, joint pain"
Eczema,"itchy skin, red patches, dry skin, swelling"
Asthma,"shortness of breath, wheezing, chest tightness, coughing"
Bronchitis,"persistent cough, mucus production, fatigue, shortness of breath"
Pneumonia,"fever, cough, chest pain, shortness of breath"
Sinusitis,"facial pain, nasal congestion, headache, thick nasal discharge"
Tonsillitis,"sore throat, swollen tonsils, fever, difficulty swallowing"
Laryngitis,"hoarse voice, sore throat, dry cough, throat clearing"
Conjunctivitis,"red eyes, itching, discharge, sensitivity to light"
Glaucoma,"eye pain, blurred vision, halos around lights, nausea"
Cataracts,"blurred vision, sensitivity to light, difficulty seeing at night, double vision"
Macular Degeneration,"blurred vision, dark spots in vision, difficulty recognizing faces"
Osteoarthritis,"joint pain, stiffness, swelling, reduced range of motion"
Osteoporosis,"back pain, loss of height, fractures, stooped posture"
Gout,"severe joint pain, swelling, redness, tenderness"
Tendinitis,"pain, swelling, stiffness, weakness in affected area"
Carpal Tunnel Syndrome,"numbness in hands, tingling, weakness, pain in wrist"
Plantar Fasciitis,"heel pain, foot pain, stiffness, difficulty walking"
Migraine,"severe headache, nausea, sensitivity to light, visual disturbances"
Tension Headache,"dull headache, pressure around head, neck stiffness, fatigue"
Cluster Headache,"severe eye pain, red eye, runny nose, restlessness"
Depression,"persistent sadness, loss of interest, fatigue, sleep problems"
Anxiety Disorder,"excessive worry, restlessness, fatigue, difficulty concentrating"
Bipolar Disorder,"mood swings, depression, mania, sleep problems"
Schizophrenia,"hallucinations, delusions, disorganized thinking, social withdrawal"
ADHD,"inattention, hyperactivity, impulsivity, difficulty organizing"
Autism Spectrum Disorder,"social difficulties, repetitive behaviors, communication problems"
Eating Disorders,"distorted body image, extreme eating behaviors, weight changes"
Sleep Apnea,"loud snoring, breathing interruptions, daytime fatigue, morning headaches"
Insomnia,"difficulty falling asleep, frequent awakening, daytime fatigue"
Restless Leg Syndrome,"uncomfortable leg sensations, urge to move legs, sleep problems"
Narcolepsy,"excessive daytime sleepiness, sudden sleep attacks, muscle weakness"
Hypertension,"headaches, dizziness, shortness of breath, nosebleeds"
Hypotension,"dizziness, fainting, fatigue, nausea"
Arrhythmia,"irregular heartbeat, palpitations, dizziness, shortness of breath"
Coronary Artery Disease,"chest pain, shortness of breath, fatigue, heart palpitations"
Congestive Heart Failure,"shortness of breath, fatigue, swelling in legs, rapid heartbeat"
Stroke,"sudden weakness, speech problems, confusion, severe headache"
Deep Vein Thrombosis,"leg pain, swelling, warmth, red skin"
Pulmonary Embolism,"sudden shortness of breath, chest pain, coughing up blood"
Anemia,"fatigue, weakness, pale skin, shortness of breath"
Leukemia,"fatigue, frequent infections, easy bruising, weight loss"
Lymphoma,"swollen lymph nodes, fever, night sweats, weight loss"
Breast Cancer,"breast lump, breast pain, nipple discharge, skin changes"
Prostate Cancer,"difficulty urinating, blood in urine, pelvic pain"
Colon Cancer,"changes in bowel habits, blood in stool, abdominal pain, weight loss"
Skin Cancer,"changes in moles, new growths, bleeding, itching"
Thyroid Cancer,"neck lump, difficulty swallowing, hoarse voice, neck pain"
Pancreatic Cancer,"abdominal pain, weight loss, jaundice, nausea"
Ovarian Cancer,"abdominal bloating, pelvic pain, difficulty eating, frequent urination"
Cervical Cancer,"abnormal vaginal bleeding, pelvic pain, pain during intercourse"
Kidney Disease,"swelling, fatigue, changes in urination, nausea"
Liver Disease,"jaundice, abdominal pain, swelling, fatigue"
Hepatitis,"jaundice, fatigue, abdominal pain, nausea"
Cirrhosis,"fatigue, swelling, jaundice, confusion"
Pancreatitis,"severe abdominal pain, nausea, vomiting, fever"
Appendicitis,"abdominal pain, nausea, vomiting, fever"
Diverticulitis,"abdominal pain, fever, nausea, changes in bowel habits"
Peptic Ulcer,"stomach pain, nausea, bloating, heartburn"
GERD,"heartburn, regurgitation, chest pain, difficulty swallowing"
Kidney Stones,"severe pain, blood in urine, nausea, frequent urination"
Urinary Tract Infection,"burning urination, frequent urination, pelvic pain"
Sexually Transmitted Infections,"genital sores, discharge, burning urination, pelvic pain"
HIV/AIDS,"fatigue, weight loss, frequent infections, night sweats"
Malaria,"fever, chills, headache, muscle aches"
Dengue Fever,"high fever, severe headache, muscle pain, rash"
Zika Virus,"fever, rash, joint pain, red eyes"
Ebola,"fever, headache, muscle pain, bleeding"
Influenza,"fever, cough, muscle aches, fatigue"
COVID-19,"fever, cough, shortness of breath, loss of taste or smell"
Chickenpox,"itchy rash, fever, headache, fatigue"
Measles,"fever, cough, runny nose, rash"
Mumps,"swollen salivary glands, fever, headache, muscle aches"
Rubella,"rash, fever, swollen lymph nodes, joint pain"
Whooping Cough,"severe coughing fits, runny nose, fever"
Tetanus,"muscle stiffness, spasms, difficulty swallowing"
Rabies,"fever, headache, confusion, difficulty swallowing"
